3 | 1 | 1 | 0
3 | 3 | 1 | 10
3 | 5 | 1 | 20
2 | 1 | 0 | 1
2 | 3 | 10 | 1
2 | 5 | 20 | 1
1 | 1 | 0 | 0 
1 | 2 | 0 |  20
1 | 3 | 0 |  40
1 | 4 | 20 | 0 
1 | 5 | 20 |  20
1 | 6 | 20 |  40
1 | 7 | 40 | 0 
1 | 8 | 40 |  20
4 | 10 | 0 | 0 
4 | 11 | 0 |  20
4 | 12 | 0 |  40
4 | 13 | 20 | 0 
4 | 14 | 20 |  20
4 | 15 | 20 |  40
4 | 16 | 40 | 0 
4 | 17 | 40 |  20
5 | 34 | 62.00 | 4.00
5 | 35 | 38.00 | 3.00
5 | 37 | 77.00 | 2.00
5 | 19 | 90.00 | 1.00
5 | 21 | 51.00 | 3.00
5 | 25 | 1.00 | 7.00
5 | 26 | 7.00 | 6.00
5 | 27 | 110.00 | 5.00
5 | 28 | 15.00 | 6.00
5 | 29 | 25.00 | 5.00
